,Address,Category,Latitude,Longitude,Name,Neighborhood
36,"Calle de la Concepción Jerónima, 29, 28012 Madrid",Clothing Store,40.4138252215737,-3.7067232112671067,Vicente rico disfraces,Palacio
37,C/Preciados 6,Clothing Store,40.41761658352227,-3.7045923826950684,House of Hoops Madrid,Palacio
38,"c/ Arenal, 3.",Clothing Store,40.41695178094199,-3.7050135858823596,Camper,Palacio
39,"Felipe V, 2",Clothing Store,40.41854965005723,-3.710534149213574,Mi Favorita Finest Ballet Garments,Palacio
40,,Clothing Store,40.418892,-3.711826,Otavio Nuccio Gala,Palacio
41,"Calle Pavia, 2",Clothing Store,40.41887089325722,-3.7114906311035156,Trajes de Novio,Palacio
42,,Clothing Store,40.417486,-3.707352,Esteve,Palacio
43,,Clothing Store,40.413273828346284,-3.706698433675348,Faira,Palacio
44,"C/ Preciados, 10",Clothing Store,40.41774986325988,-3.7045061992506656,Mango,Palacio
45,"C. Preciados, 4",Clothing Store,40.41739229099138,-3.7042130440093137,Sfera,Palacio
46,C/ Preciados nº 13,Clothing Store,40.41856599188025,-3.705114138382592,Springfield,Palacio
47,Calle Toledo 18,Clothing Store,40.41415211250404,-3.707469659645076,Alpargatería Casa Hernanz,Palacio
0,Gran Via 54,Bus Stop,40.42106458637214,-3.7075458341971825,Parada EMT #168,Palacio
1,,Bus Stop,40.420177,-3.7072914,Parada EMT 5570,Palacio
2,,Bus Stop,40.420836,-3.708287,Parada Emt 5573,Palacio
0,Pl. de Isabel II,Metro Station,40.41812353769271,-3.709437629355202,Metro Ópera,Palacio
1,"Pl. del Callao, 1",Metro Station,40.42016543090694,-3.7057899845796194,Metro Callao,Palacio
2,Pza. de Santo Domingo 6,Metro Station,40.42084177364492,-3.7081504210156364,Metro Santo Domingo,Palacio
0,"C. Bailén, s/n",Arts & Entertainment,40.41793972010854,-3.714258670806885,Palacio Real de Madrid,Palacio
1,Pl. de Isabel II,Arts & Entertainment,40.41822583203057,-3.7110644324883078,Teatro Real de Madrid,Palacio
2,,Arts & Entertainment,40.417412,-3.71358,Cartas Al Rey. La Mediación Humanitaria De Alfonso Xiii En La Gran Guerra,Palacio
3,"C. Bailén, 8-10",Arts & Entertainment,40.41576693264202,-3.7145161628723145,Santa Iglesia Catedral de Santa María la Real de la Almudena (Catedral de la Almudena),Palacio
4,Metro Ópera Planta 2,Arts & Entertainment,40.41807390956327,-3.709421770077295,Museo de los Caños del Peral,Palacio
5,"Plaza de la Almudena, S/N",Arts & Entertainment,40.4156774055791,-3.713479327998357,Museo de la Catedral de la Almudena,Palacio
6,,Arts & Entertainment,40.41651673696806,-3.713547421489713,Real Armeria,Palacio
7,"Calle Mayor, 69",Arts & Entertainment,40.415351672908926,-3.7112329348781796,Centro Sefard Israel Madrid,Palacio
8,C/ de Bailén,Arts & Entertainment,40.41647497131268,-3.7139800986647775,Plaza de la Armería,Palacio
9,,Arts & Entertainment,40.417639,-3.714319,Reales Cocinas del Palacio Real,Palacio
10,Calle de Bailén,Arts & Entertainment,40.418053,-3.7143586,Palacio Real de Madrid,Palacio
11,Pl. de la Villa,Arts & Entertainment,40.415408601788656,-3.710390924213192,Plaza de la Villa,Palacio
12,"Camino de Perales, 4",Arts & Entertainment,40.41500596427873,-3.709483510898939,Iglesia Del Corpus Christi,Palacio
13,"C. Toledo, 37",Arts & Entertainment,40.41302225870636,-3.7074136734008785,Antigua Catedral de San Isidro,Palacio
14,Pl. de las Descalzas Reales,Arts & Entertainment,40.41821556333516,-3.7065309847742736,Monasterio de las Descalzas Reales,Palacio
15,Pl. Mayor,Arts & Entertainment,40.415437525568024,-3.707521056202871,Plaza Mayor,Palacio
16,Cuesta de la Vega,Arts & Entertainment,40.414880609756715,-3.7149895156627006,Muralla musulmana de Madrid,Palacio
17,Cuesta Santo Domingo 24,Arts & Entertainment,40.41988373362766,-3.7081003189086914,Fox in a Box,Palacio
18,Calle de San Justo 4,Arts & Entertainment,40.41413836034796,-3.709684508176225,Basílica de San Miguel,Palacio
19,"C. Bailén, 3",Arts & Entertainment,40.42141930123384,-3.7128424644470215,Senado de España,Palacio
20,,Arts & Entertainment,40.4154384665124,-3.7139538304816746,Arcón Funerario de San Isidro Catedral de Santa María la Real de la Almudena,Palacio
21,"C. del Sacramento, 1",Arts & Entertainment,40.41511383129468,-3.712331292943614,Iglesia Catedral de las Fuerzas Armadas,Palacio
